21,28,30,22,30,25,32,29,30,30,31,35,30,35,25,28,33,35,33,26,30,33,32,35,35,24,30,34,31,35,34,35,32,36,29,31,31,36,31,33,31,39,40,25,35,33,32,32,33,38,35,38,38,38,34,34,38,39,35,36,36,31,37,30,36,37,37,36,35,38,28,33,33,34,37,37,35,34,39,39,35,36,35,40,31,37,41,40,37,39,37,36,41,30,34,42,35,38,37,34,
26,21,28,25,21,30,32,30,31,31,31,26,29,32,27,30,31,34,34,32,35,25,34,35,36,36,37,34,30,35,30,36,32,35,29,32,31,33,37,40,39,38,22,36,37,34,37,35,38,33,40,32,36,33,40,35,36,35,27,38,36,32,38,35,39,30,27,35,36,38,37,30,36,35,37,38,38,31,38,37,31,37,39,37,38,36,30,41,35,41,27,37,36,36,36,35,41,37,27,38,
24,10,28,28,32,28,33,31,31,30,31,32,32,33,28,28,26,28,33,30,36,36,37,37,34,35,37,36,33,27,32,36,33,34,36,35,32,40,33,36,37,34,39,33,32,40,37,29,35,36,34,40,34,22,38,31,39,29,35,39,37,34,36,37,36,36,36,35,36,33,38,38,36,38,27,33,33,34,38,29,36,38,35,41,37,29,37,34,36,34,40,37,30,33,38,38,32,20,29,34,
19,27,28,29,17,29,26,20,26,31,35,34,32,28,31,32,30,33,35,32,34,26,29,35,33,26,33,20,33,36,36,28,35,34,31,40,32,33,34,33,25,36,38,33,27,34,39,37,39,34,33,37,39,39,33,36,30,34,37,37,37,35,32,38,31,37,36,24,38,33,37,35,32,32,31,33,30,32,32,38,37,31,37,34,33,36,30,24,41,32,35,41,40,37,40,35,40,36,40,36,
27,28,25,30,30,26,26,32,19,29,33,22,26,33,33,30,27,27,29,35,31,36,31,31,18,31,31,25,28,33,31,33,33,31,32,34,40,36,35,37,33,37,39,38,34,33,32,34,27,35,25,31,34,29,30,38,34,36,34,37,30,32,37,29,37,38,36,28,38,38,41,35,33,36,38,41,28,37,36,38,33,42,40,33,31,38,38,37,36,37,42,36,37,37,39,31,37,34,37,36,
18,25,28,25,32,19,24,24,31,23,25,30,34,31,31,33,28,30,31,31,30,36,36,37,33,32,36,33,31,32,34,36,35,35,38,34,35,34,36,34,26,29,36,29,38,32,30,39,37,32,25,31,35,35,38,39,33,35,33,38,36,38,28,31,22,36,38,34,36,34,33,35,35,38,34,39,35,35,35,39,40,40,38,35,37,36,30,41,37,40,32,35,39,34,36,31,33,24,35,36,
25,28,26,29,28,32,30,32,26,28,29,32,31,33,31,33,30,27,20,38,38,32,34,33,35,33,37,28,34,34,35,35,32,33,36,33,36,32,33,29,26,31,32,37,38,38,36,37,38,28,32,38,36,35,37,30,34,34,33,31,37,31,38,35,33,35,37,36,34,39,37,38,32,36,34,40,31,37,36,32,30,32,41,39,38,31,41,37,31,34,37,39,40,41,35,34,36,41,41,32,
22,29,25,20,32,30,32,27,32,29,34,29,34,27,33,30,31,29,21,32,35,33,33,32,38,35,34,28,35,37,34,36,36,28,36,33,34,36,33,38,33,31,39,35,32,32,32,26,34,28,20,36,27,38,34,33,26,38,29,34,31,30,39,32,33,32,25,29,38,30,37,36,36,37,37,30,31,35,35,33,41,38,39,37,28,36,41,36,36,36,40,38,36,34,38,31,36,39,40,34,
26,24,31,32,29,28,30,21,27,31,28,33,27,30,33,33,21,34,34,36,36,37,36,29,38,37,35,31,36,30,35,31,35,34,38,33,40,32,32,35,31,35,35,32,34,34,34,34,38,39,37,38,30,33,32,39,37,37,36,37,37,36,36,36,38,33,36,37,34,30,38,34,35,37,30,38,30,32,35,35,37,37,20,27,40,37,31,38,32,33,36,36,41,36,38,38,37,26,32,31,
26,22,29,27,33,27,31,32,29,25,31,34,34,35,34,34,32,31,28,36,32,30,34,33,35,33,34,34,21,34,34,18,35,33,37,39,35,29,35,40,34,38,34,38,22,36,38,32,31,34,36,33,36,38,37,38,37,34,36,39,37,26,36,32,38,36,35,34,26,42,31,35,38,35,33,35,36,34,32,28,32,40,41,36,39,27,38,40,37,42,40,35,39,29,43,41,40,38,35,39,
20,24,26,12,25,32,34,31,30,31,30,31,33,26,33,23,33,34,33,34,29,35,34,36,35,28,37,35,35,34,36,29,33,32,31,36,33,28,38,33,35,35,34,24,29,40,31,36,30,39,38,37,37,22,37,39,32,37,36,31,34,38,36,36,27,33,39,32,37,38,37,37,34,35,39,26,40,37,38,32,36,36,38,37,38,35,35,31,28,29,39,37,35,34,39,42,20,38,35,36,
26,28,23,29,19,32,23,28,26,32,35,33,35,31,30,35,26,29,38,32,38,32,32,35,36,32,35,32,30,37,30,34,33,30,32,34,37,30,36,30,32,39,40,36,35,34,34,31,30,34,33,32,36,35,38,36,36,36,34,33,37,36,35,34,22,35,38,37,34,35,29,36,38,41,37,36,37,41,31,41,34,33,36,34,30,37,35,37,39,35,35,38,34,32,41,38,26,32,31,36,
16,23,28,27,33,32,29,26,34,33,25,34,26,32,31,32,31,34,31,28,24,29,35,30,32,26,35,29,37,35,34,35,35,32,34,37,33,33,32,28,39,22,33,34,38,34,35,37,29,33,20,26,38,28,33,36,38,33,32,36,38,37,38,37,35,37,38,38,38,28,36,29,29,34,36,37,35,30,36,38,28,37,31,39,39,38,36,24,24,40,34,34,29,32,37,22,37,36,39,30,
25,24,26,23,27,26,23,32,28,35,27,35,34,35,33,34,26,33,32,31,36,32,36,32,32,36,28,34,36,33,32,34,32,36,32,35,37,33,32,34,34,33,32,38,29,33,38,33,35,34,37,38,33,39,38,36,36,38,33,40,37,34,37,35,33,38,28,36,37,31,38,38,41,34,33,40,37,30,35,27,35,38,36,36,41,36,37,36,37,38,33,40,36,40,31,42,39,37,41,31,
23,27,26,30,27,30,29,31,35,28,33,29,25,35,35,34,33,33,29,32,30,36,35,29,34,33,33,36,33,33,34,31,36,29,32,39,29,36,34,36,35,38,27,38,23,35,26,31,33,38,37,37,27,35,20,37,35,34,39,29,38,35,30,22,35,37,32,38,41,34,35,38,33,32,35,35,36,34,35,35,38,40,37,35,37,41,38,32,36,41,36,37,38,38,42,37,40,41,42,41,
18,27,25,28,35,30,32,31,20,30,35,35,33,36,34,27,32,33,25,29,18,32,29,28,36,30,33,37,34,35,34,36,26,33,34,29,35,27,33,29,41,30,34,33,22,26,34,34,30,37,38,24,24,33,30,36,38,39,26,38,33,38,30,20,36,38,32,33,36,38,38,37,38,37,31,41,41,38,36,29,35,36,30,41,30,38,41,34,40,41,41,29,34,34,41,35,36,34,29,40,
23,19,28,22,29,29,28,31,29,34,29,29,34,30,25,32,29,29,21,34,36,36,32,33,37,35,29,35,35,35,37,35,34,29,34,35,31,37,28,39,28,29,32,34,24,39,38,32,20,35,38,33,33,32,32,31,38,34,29,36,23,39,38,30,32,36,37,33,32,38,32,27,33,34,39,32,31,41,39,34,43,30,29,27,39,34,33,37,31,38,37,40,34,37,39,35,33,36,37,33,
22,28,28,29,23,28,32,32,32,26,27,30,29,34,31,32,35,33,31,26,35,36,33,30,36,33,37,32,34,25,27,36,32,34,33,28,35,36,33,27,32,35,31,36,34,38,40,38,35,30,34,32,38,36,36,35,37,25,35,34,35,38,39,34,36,37,37,34,37,38,42,35,40,26,37,37,36,34,41,36,38,35,35,36,37,34,40,39,37,37,38,38,40,39,40,37,33,38,36,40,
21,23,22,26,29,32,28,31,32,32,34,27,30,32,34,27,29,32,38,35,29,36,37,29,37,35,35,32,36,33,35,31,32,33,34,34,32,35,31,39,32,33,35,39,38,35,33,31,33,35,36,37,39,39,37,34,31,33,35,29,39,27,38,36,37,37,37,31,28,38,38,36,36,35,36,38,34,33,36,32,34,37,35,38,37,36,38,40,39,41,37,38,38,37,42,35,39,35,38,37,
18,25,29,31,32,32,24,29,28,34,30,36,35,32,26,36,26,27,34,34,35,35,30,36,36,38,28,36,36,35,30,33,35,34,31,33,25,34,40,38,33,35,27,37,37,38,37,28,36,34,30,29,39,34,33,35,37,37,36,38,39,37,31,31,31,32,36,37,41,31,34,30,36,36,38,38,40,41,24,38,34,36,29,38,38,36,40,41,32,35,34,36,35,41,32,35,36,39,40,36,
26,29,30,27,22,26,25,29,31,31,32,32,29,30,20,30,29,32,32,32,29,32,35,33,34,22,32,26,34,34,28,36,35,35,32,33,35,32,29,37,39,35,29,38,39,34,27,37,36,35,33,29,30,32,36,37,28,39,37,32,35,30,34,34,35,39,26,41,35,37,37,27,27,34,38,36,35,32,37,41,41,36,37,35,32,37,36,33,36,39,41,25,34,38,37,42,39,37,39,39,
